This file was created by using the 202604 CRSP database.
It contains value-weighted returns for the intersections of  2 ME portfolios
and  3 BE/ME portfolios. 

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME at the end of December of the prior year.

Missing data are indicated by -99.99 or -999.

The break points use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Transportation, Utilities, and Financials Manuals.

The  portfolios  use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Transportation, Utilities, and Financials Manuals.


  Average Value Weighted Returns -- Daily
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
20060829,   1.17,   1.15,   1.09,   0.36,   0.14,   0.09
20060830,   0.96,   0.59,   0.65,   0.20,  -0.06,  -0.09
20060831,   0.01,   0.09,   0.18,  -0.07,   0.10,   0.30
20060901,   0.15,   0.28,   0.23,   0.56,   0.62,   0.29
20060905,   0.68,   0.86,   0.60,   0.08,   0.34,   0.19
20060906,  -2.20,  -2.07,  -1.65,  -1.08,  -0.97,  -0.80
20060907,  -0.86,  -0.58,  -0.46,  -0.43,  -0.55,  -0.42
20060908,   0.30,   0.26,   0.18,   0.48,   0.20,   0.31
20060911,  -0.17,  -0.19,  -0.08,   0.15,  -0.18,  -0.02
20060912,   2.36,   2.26,   2.01,   1.14,   1.05,   0.91
20060913,   0.90,   0.81,   0.75,   0.34,   0.53,   0.41
20060914,  -0.40,  -0.37,  -0.30,  -0.10,  -0.14,  -0.13
20060915,   0.22,   0.15,   0.10,   0.36,   0.04,   0.15
20060918,   0.09,   0.06,  -0.11,   0.08,   0.14,  -0.19
20060919,  -0.53,  -0.52,  -0.35,  -0.30,  -0.18,  -0.22
20060920,   1.13,   1.22,   1.11,   0.60,   0.53,   0.57
20060921,  -0.87,  -0.97,  -0.82,  -0.56,  -0.53,  -0.54
20060922,  -1.33,  -1.03,  -0.88,  -0.42,  -0.21,  -0.04
20060925,   1.03,   1.12,   1.12,   0.82,   0.90,   0.95
20060926,   0.46,   0.41,   0.26,   0.80,   0.82,   0.56
20060927,   0.42,   0.32,   0.40,   0.20,  -0.14,   0.05
20060928,   0.24,  -0.01,  -0.02,   0.23,   0.14,   0.16
20060929,  -0.67,  -1.02,  -0.73,  -0.44,  -0.08,  -0.03
20061002,  -0.92,  -1.01,  -0.66,  -0.46,  -0.17,  -0.34
20061003,  -0.31,  -0.13,   0.09,   0.10,   0.13,   0.54
20061004,   2.20,   1.94,   1.59,   1.43,   0.99,   1.11
20061005,   1.37,   1.30,   0.96,   0.47,   0.19,   0.26
20061006,  -0.28,  -0.39,  -0.40,  -0.24,  -0.35,  -0.33
20061009,   0.59,   0.55,   0.64,   0.10,   0.22,   0.20
20061010,   0.38,   0.19,   0.10,   0.13,   0.33,   0.32
20061011,  -0.59,  -0.41,  -0.48,  -0.32,  -0.21,  -0.02
20061012,   2.09,   1.97,   1.70,   0.98,   1.03,   0.85
20061013,   0.77,   0.66,   0.61,   0.16,   0.21,   0.22
20061016,   0.92,   1.05,   0.63,   0.34,   0.29,   0.16
20061017,  -0.80,  -0.55,  -0.43,  -0.52,  -0.37,  -0.18
20061018,  -0.14,  -0.39,  -0.01,   0.14,   0.12,   0.15
20061019,   0.59,   0.56,   0.40,   0.12,   0.07,  -0.20
20061020,  -0.55,  -0.79,  -0.56,   0.18,  -0.07,   0.01
20061023,   0.15,   0.15,   0.10,   0.75,   0.56,   0.36
20061024,  -0.14,   0.01,  -0.14,  -0.12,   0.22,   0.26
20061025,   0.72,   0.51,   0.38,   0.30,   0.21,   0.58
20061026,   1.08,   1.09,   1.04,   0.54,   0.50,   0.99
20061027,  -1.17,  -1.26,  -1.05,  -0.89,  -0.74,  -0.94
20061030,   0.35,   0.48,   0.57,   0.11,  -0.11,   0.21
20061031,  -0.27,  -0.40,  -0.49,   0.05,  -0.09,  -0.05
20061101,  -1.96,  -1.74,  -1.55,  -0.76,  -0.83,  -0.55
20061102,  -0.18,  -0.16,  -0.30,  -0.08,   0.10,   0.07
20061103,   0.38,   0.55,   0.20,  -0.20,  -0.16,  -0.04
20061106,   1.61,   1.25,   1.33,   1.07,   1.28,   1.08
20061107,   0.43,   0.22,   0.15,   0.32,   0.15,   0.12
20061108,   0.44,   0.76,   0.71,   0.19,   0.32,   0.55
20061109,  -0.99,  -1.09,  -0.69,  -0.61,  -0.48,  -0.27
20061110,   0.85,   0.92,   0.90,   0.21,   0.21,   0.31
20061113,   0.43,   0.36,   0.47,   0.26,   0.27,   0.24
20061114,   1.40,   1.63,   1.43,   0.84,   0.49,   0.32
20061115,   0.96,   0.74,   0.68,   0.48,   0.15,   0.09
20061116,  -0.15,  -0.19,   0.04,   0.25,   0.10,   0.32
20061117,  -0.18,  -0.27,  -0.39,   0.10,   0.16,  -0.13
20061120,   0.27,   0.19,   0.10,  -0.15,  -0.01,   0.06
20061121,   0.22,   0.02,   0.15,   0.18,   0.18,  -0.04
20061122,   0.16,   0.15,   0.07,   0.46,   0.17,   0.07
20061124,  -0.06,  -0.15,  -0.05,  -0.40,  -0.27,  -0.27
20061127,  -2.54,  -2.32,  -2.20,  -1.49,  -1.29,  -1.22
20061128,   0.19,   0.35,   0.37,   0.39,   0.32,   0.15
20061129,   1.09,   1.28,   0.94,   0.88,   1.09,   0.87
20061130,   0.27,   0.29,   0.31,  -0.06,   0.29,   0.21
20061201,  -0.47,  -0.65,  -0.56,  -0.37,  -0.14,  -0.03
20061204,   1.72,   1.83,   1.64,   1.18,   0.51,   0.92
20061205,   0.32,   0.22,   0.42,   0.37,   0.44,   0.75
20061206,  -0.17,  -0.07,  -0.14,  -0.23,   0.12,   0.02
20061207,  -0.35,  -0.43,  -0.42,  -0.52,  -0.24,  -0.32
20061208,   0.16,  -0.02,  -0.08,   0.14,   0.22,   0.19
20061211,  -0.29,   0.04,   0.36,  -0.02,   0.41,   0.62
20061212,  -0.80,  -0.55,  -0.34,  -0.17,  -0.23,   0.30
20061213,  -0.05,   0.10,   0.24,   0.10,   0.17,   0.09
20061214,   0.68,   0.65,   0.67,   0.92,   0.78,   0.73
20061215,  -0.30,  -0.15,   0.03,   0.06,   0.06,   0.48
20061218,  -1.30,  -1.36,  -1.12,  -0.50,  -0.16,  -0.28
20061219,  -0.06,   0.19,   0.04,   0.18,   0.25,   0.12
20061220,   0.39,   0.41,   0.45,  -0.22,  -0.11,  -0.08
20061221,  -0.54,  -0.25,  -0.09,  -0.45,  -0.34,  -0.17
20061222,  -0.16,  -0.25,  -0.17,  -0.57,  -0.44,  -0.41
20061226,   0.53,   0.92,   1.00,   0.35,   0.47,   0.65
20061227,   1.19,   1.34,   1.09,   0.61,   0.90,   0.52
20061228,  -0.34,  -0.37,  -0.29,  -0.08,  -0.23,  -0.19
20061229,  -0.75,  -0.84,  -0.74,  -0.40,  -0.47,  -0.66
20070103,  -0.19,  -0.11,   0.27,   0.11,  -0.26,   0.05
20070104,   0.51,   0.20,   0.14,   0.54,  -0.28,  -0.10
20070105,  -1.34,  -1.76,  -1.71,  -0.60,  -0.59,  -0.81
20070108,   0.19,   0.18,   0.20,   0.20,   0.37,   0.27
20070109,   0.26,  -0.03,   0.27,   0.19,  -0.13,  -0.43
20070110,   0.23,   0.04,   0.06,   0.33,   0.17,   0.13
20070111,   1.20,   1.10,   1.20,   0.90,   0.61,   0.20
20070112,   0.97,   0.65,   0.50,   0.48,   0.60,   0.36
20070116,  -0.28,  -0.36,  -0.13,   0.07,   0.05,  -0.06
20070117,  -0.37,  -0.22,  -0.40,  -0.15,   0.04,  -0.19
20070118,  -1.40,  -1.33,  -1.10,  -0.56,  -0.17,  -0.02
20070119,   0.80,   0.72,   0.74,   0.16,   0.50,   0.40
20070122,  -0.87,  -0.90,  -0.86,  -0.68,  -0.40,  -0.07
20070123,   0.96,   1.01,   0.85,   0.23,   0.45,   0.41
20070124,   1.12,   0.96,   1.02,   0.93,   0.76,   0.59
20070125,  -1.02,  -1.35,  -1.20,  -1.04,  -1.27,  -1.08
20070126,   0.43,   0.43,   0.52,  -0.19,   0.03,  -0.04
20070129,   0.51,   0.67,   0.69,  -0.02,  -0.16,   0.26
20070130,   0.60,   0.65,   0.57,   0.35,   0.74,   0.72
20070131,   0.26,   0.37,   0.30,   0.67,   0.79,   0.64
20070201,   1.06,   0.89,   0.70,   0.53,   0.66,   0.51
20070202,   0.19,   0.25,   0.37,   0.06,   0.21,   0.28
20070205,  -0.36,  -0.42,  -0.16,  -0.10,  -0.03,  -0.06
20070206,   0.26,   0.47,   0.46,  -0.01,   0.17,   0.24
20070207,   0.56,   0.59,   0.58,   0.15,   0.18,   0.28
20070208,   0.20,   0.17,  -0.03,  -0.08,   0.00,  -0.36
20070209,  -1.11,  -0.99,  -0.95,  -0.72,  -0.68,  -0.52
20070212,  -0.18,  -0.11,  -0.03,  -0.38,  -0.30,  -0.28
20070213,   0.71,   0.78,   0.62,   0.49,   0.97,   1.18
20070214,   0.39,   0.27,   0.18,   0.85,   0.77,   0.68
20070215,   0.33,   0.13,   0.05,   0.28,   0.02,  -0.27
20070216,   0.42,   0.38,   0.10,  -0.16,   0.02,   0.26
20070220,   1.11,   0.94,   0.90,   0.43,   0.31,   0.35
20070221,   0.33,   0.26,  -0.01,  -0.09,  -0.09,  -0.20
20070222,   0.37,   0.28,   0.21,  -0.01,  -0.16,  -0.08
20070223,  -0.08,  -0.24,  -0.32,  -0.18,  -0.38,  -0.50
20070226,  -0.49,  -0.26,  -0.23,  -0.13,  -0.19,  -0.25
20070227,  -3.60,  -3.52,  -3.51,  -3.39,  -3.49,  -3.11
20070228,  -0.14,   0.13,   0.15,   0.51,   0.51,   0.63
20070301,  -0.28,  -0.20,  -0.31,  -0.33,  -0.15,   0.02
20070302,  -1.98,  -1.76,  -1.57,  -1.20,  -1.12,  -1.03
20070305,  -1.79,  -1.69,  -1.84,  -0.77,  -1.15,  -1.32
20070306,   2.22,   2.31,   2.06,   1.41,   1.68,   1.52
20070307,  -0.19,  -0.22,  -0.27,  -0.24,  -0.11,  -0.02
20070308,   0.76,   0.57,   0.62,   0.60,   0.84,   0.61
20070309,   0.33,   0.41,   0.44,   0.01,   0.11,   0.20
20070312,   0.59,   0.41,   0.50,   0.35,   0.25,   0.01
20070313,  -2.24,  -2.41,  -2.26,  -1.82,  -2.13,  -2.30
20070314,   0.53,   0.85,   0.61,   0.68,   0.54,   0.48
20070315,   0.85,   0.94,   1.01,   0.26,   0.63,   0.45
20070316,  -0.47,  -0.55,  -0.58,  -0.33,  -0.41,  -0.59
20070319,   1.10,   1.03,   0.90,   1.04,   1.22,   1.06
20070320,   0.77,   0.82,   0.74,   0.62,   0.71,   0.90
20070321,   1.68,   1.61,   1.39,   1.55,   1.84,   1.60
20070322,   0.32,   0.18,  -0.11,   0.06,  -0.02,  -0.35
20070323,   0.37,   0.16,   0.16,  -0.02,   0.19,   0.30
20070326,   0.08,  -0.02,  -0.05,   0.16,   0.03,  -0.06
20070327,  -0.59,  -0.74,  -0.90,  -0.66,  -0.56,  -0.45
20070328,  -0.59,  -0.64,  -0.43,  -0.68,  -0.83,  -0.79
20070329,   0.09,   0.29,   0.10,   0.21,   0.46,   0.43
20070330,   0.28,   0.17,   0.16,  -0.05,  -0.13,  -0.14
20070402,   0.29,   0.34,   0.24,   0.44,   0.11,   0.09
20070403,   0.98,   1.04,   0.96,   0.98,   0.96,   0.86
20070404,  -0.02,  -0.11,  -0.18,   0.34,  -0.07,   0.00
20070405,   0.58,   0.24,   0.26,   0.31,   0.35,   0.33
20070409,  -0.06,  -0.13,  -0.18,  -0.04,   0.26,   0.11
20070410,   0.31,   0.29,   0.33,   0.22,   0.25,   0.25
20070411,  -0.65,  -0.68,  -0.70,  -0.65,  -0.67,  -0.36
20070412,   0.95,   0.81,   0.75,   0.72,   0.46,   0.61
20070413,   0.57,   0.44,   0.58,   0.40,   0.22,   0.28
20070416,   1.39,   1.42,   1.29,   0.91,   1.27,   1.08
20070417,  -0.37,  -0.26,  -0.25,   0.32,   0.00,   0.07
20070418,  -0.53,  -0.54,  -0.34,  -0.15,   0.21,   0.74
20070419,  -0.52,  -0.55,  -0.60,  -0.15,  -0.18,  -0.23
20070420,   0.89,   1.19,   1.10,   0.96,   0.89,   0.68
20070423,   0.06,  -0.19,  -0.41,  -0.23,  -0.12,  -0.42
20070424,  -0.02,  -0.13,  -0.30,   0.06,  -0.17,  -0.12
20070425,   0.56,   0.64,   0.74,   0.97,   0.93,   1.20
20070426,   0.38,   0.25,   0.09,   0.13,  -0.19,  -0.17
20070427,  -0.43,  -0.27,  -0.69,   0.11,  -0.16,  -0.41
20070430,  -1.54,  -1.75,  -1.71,  -0.87,  -0.73,  -0.77
20070501,  -0.02,   0.15,   0.28,   0.35,   0.24,   0.01
20070502,   1.34,   1.44,   1.26,   0.67,   0.72,   0.81
20070503,   0.10,   0.17,   0.13,   0.31,   0.50,   0.59
20070504,   0.41,   0.37,   0.43,   0.17,   0.35,   0.19
20070507,  -0.11,  -0.10,   0.06,   0.12,   0.35,   0.52
20070508,  -0.02,  -0.20,  -0.20,  -0.13,  -0.02,  -0.17
20070509,   0.54,   0.45,   0.35,   0.30,   0.39,   0.40
20070510,  -1.87,  -2.03,  -1.57,  -1.42,  -1.29,  -1.20
20070511,   1.07,   1.27,   1.09,   0.89,   1.03,   0.92
20070514,  -0.73,  -0.80,  -0.80,  -0.27,  -0.06,  -0.22
20070515,  -0.92,  -0.86,  -0.86,  -0.28,  -0.07,  -0.03
20070516,   0.65,   0.76,   0.61,   0.78,   0.91,   0.92
20070517,  -0.33,  -0.38,  -0.47,  -0.14,   0.04,  -0.03
20070518,   1.42,   0.81,   0.79,   0.78,   0.56,   0.42
20070521,   1.40,   1.18,   0.87,   0.20,   0.22,   0.36
20070522,   0.63,   0.70,   0.77,   0.10,  -0.11,   0.00
20070523,  -0.27,  -0.37,  -0.52,  -0.11,  -0.18,  -0.21
20070524,  -1.49,  -1.44,  -1.37,  -0.93,  -1.02,  -1.19
20070525,   0.75,   0.69,   0.76,   0.54,   0.57,   0.40
20070529,   0.71,   0.75,   0.81,   0.25,   0.13,   0.09
20070530,   0.60,   0.61,   0.53,   0.78,   0.84,   0.74
20070531,   0.56,   0.53,   0.16,   0.24,  -0.06,   0.01
20070601,   0.65,   0.74,   0.79,   0.39,   0.50,   0.43
20070604,   0.23,   0.22,   0.28,   0.28,   0.09,   0.19
20070605,  -0.51,  -0.72,  -0.79,  -0.47,  -0.55,  -0.63
20070606,  -0.92,  -0.79,  -0.77,  -0.88,  -0.91,  -0.99
20070607,  -1.85,  -1.75,  -1.69,  -1.76,  -1.72,  -1.71
20070608,   1.00,   1.08,   1.06,   1.13,   1.10,   0.96
20070611,  -0.15,  -0.15,  -0.12,   0.01,   0.22,   0.33
20070612,  -1.21,  -1.23,  -1.28,  -0.97,  -1.08,  -1.06
20070613,   1.40,   1.23,   1.01,   1.33,   1.53,   1.39
20070614,   0.67,   0.61,   0.53,   0.55,   0.42,   0.43
20070615,   1.07,   1.24,   1.12,   0.76,   0.45,   0.70
20070618,  -0.04,  -0.13,  -0.16,  -0.11,  -0.13,  -0.04
20070619,   0.12,   0.27,   0.19,   0.06,   0.30,   0.18
20070620,  -1.19,  -1.24,  -1.32,  -1.11,  -1.57,  -1.31
20070621,   0.41,   0.42,   0.40,   0.64,   0.56,   0.62
20070622,  -0.78,  -0.68,  -0.77,  -1.28,  -1.37,  -1.31
20070625,  -0.68,  -0.73,  -0.75,  -0.26,  -0.35,  -0.37
20070626,   0.01,  -0.29,  -0.29,  -0.21,  -0.50,  -0.34
20070627,   1.54,   1.35,   1.04,   0.94,   0.85,   0.70
20070628,   0.17,   0.05,   0.35,   0.04,   0.02,  -0.01
20070629,  -0.43,  -0.56,  -0.47,  -0.16,  -0.10,  -0.22
20070702,   1.21,   1.09,   0.93,   0.93,   1.17,   1.42
20070703,   0.33,   0.33,   0.28,   0.39,   0.47,   0.20
20070705,   0.30,   0.19,  -0.05,   0.32,  -0.03,  -0.45
20070706,   0.34,   0.32,   0.34,   0.49,   0.36,   0.36
20070709,   0.23,   0.15,   0.12,   0.14,   0.11,   0.10
20070710,  -1.51,  -1.65,  -1.78,  -1.21,  -1.54,  -1.68
20070711,   0.42,   0.30,   0.21,   0.65,   0.51,   0.68
20070712,   1.59,   1.69,   1.48,   1.87,   1.93,   1.48
20070713,   0.18,  -0.06,   0.09,   0.27,   0.35,   0.46
20070716,  -0.58,  -0.86,  -0.80,  -0.07,  -0.34,  -0.52
20070717,   0.07,   0.30,   0.01,   0.05,   0.13,  -0.25
20070718,  -0.31,  -0.43,  -0.59,  -0.07,  -0.38,  -0.23
20070719,   0.84,   0.66,   0.47,   0.70,   0.16,   0.14
20070720,  -1.45,  -1.66,  -1.50,  -1.04,  -1.34,  -1.43
20070723,   0.08,   0.01,  -0.32,   0.67,   0.23,   0.08
20070724,  -2.49,  -2.65,  -2.60,  -1.73,  -2.15,  -2.26
20070725,  -0.04,   0.16,  -0.09,   0.38,   0.32,   0.57
20070726,  -2.33,  -2.32,  -2.65,  -2.15,  -2.59,  -2.29
20070727,  -1.59,  -1.40,  -1.62,  -1.52,  -1.47,  -1.33
20070730,   0.68,   0.85,   0.54,   0.92,   1.09,   0.90
20070731,  -0.80,  -0.89,  -0.94,  -1.28,  -1.06,  -1.34
20070801,   0.02,   0.25,  -0.15,   0.75,   0.54,   0.36
20070802,   0.83,   0.76,   0.41,   0.61,   0.49,   0.49
20070803,  -2.96,  -3.41,  -3.69,  -2.23,  -2.79,  -3.08
20070806,   1.43,   1.35,   0.52,   2.04,   2.61,   2.08
20070807,   1.64,   0.85,   0.34,   0.57,   0.72,   0.64
20070808,   2.96,   2.32,   2.14,   1.59,   1.17,   1.02
20070809,  -0.99,  -1.28,  -1.58,  -2.55,  -3.23,  -3.15
20070810,  -1.14,   0.78,   0.83,  -0.38,   0.46,   0.50
20070813,  -1.07,  -1.14,  -0.93,  -0.08,   0.13,   0.29
20070814,  -1.95,  -1.90,  -1.87,  -1.60,  -1.96,  -1.96
20070815,  -1.41,  -1.30,  -1.44,  -1.43,  -1.41,  -1.41
20070816,   0.94,   2.13,   2.10,  -0.45,   0.77,   1.07
20070817,   1.98,   2.14,   2.16,   2.11,   2.74,   2.76
20070820,   0.30,   0.14,  -0.14,   0.03,   0.08,  -0.21
20070821,   0.05,   0.18,   0.16,   0.12,   0.28,   0.02
20070822,   1.23,   1.12,   1.37,   1.28,   1.15,   1.11
20070823,  -1.15,  -1.17,  -0.94,  -0.11,  -0.24,   0.07
20070824,   1.24,   1.40,   1.12,   1.34,   1.13,   0.94
20070827,  -0.94,  -0.93,  -1.01,  -0.70,  -0.92,  -0.94
20070828,  -2.28,  -2.51,  -2.60,  -2.07,  -2.51,  -2.56
20070829,   2.19,   2.41,   2.21,   2.06,   2.28,   2.08
20070830,  -0.36,  -0.57,  -0.63,  -0.16,  -0.57,  -0.78
20070831,   1.19,   1.11,   1.23,   1.05,   1.33,   0.97
20070904,   1.14,   0.79,   0.82,   0.97,   1.06,   1.31
20070905,  -0.90,  -1.19,  -1.21,  -0.83,  -1.23,  -1.18
20070906,   0.41,   0.41,   0.32,   0.61,   0.25,   0.32
20070907,  -2.01,  -2.05,  -1.76,  -1.73,  -1.58,  -1.56
20070910,  -0.77,  -0.70,  -0.78,  -0.04,  -0.30,  -0.44
20070911,   1.55,   1.51,   1.08,   1.43,   1.29,   1.26
20070912,  -0.28,  -0.45,  -0.55,   0.13,  -0.12,   0.09
20070913,   0.16,   0.21,   0.21,   0.66,   0.76,   1.05
20070914,   0.44,   0.35,   0.44,   0.15,   0.02,  -0.04
20070917,  -1.03,  -0.91,  -0.98,  -0.53,  -0.56,  -0.56
20070918,   3.29,   3.62,   3.71,   2.60,   3.11,   3.06
20070919,   1.03,   1.05,   1.36,   0.55,   0.50,   0.62
20070920,  -0.74,  -0.82,  -0.93,  -0.32,  -0.95,  -0.79
20070921,   0.40,   0.30,  -0.02,   0.52,   0.39,   0.41
20070924,  -0.66,  -1.07,  -1.28,  -0.23,  -0.74,  -0.86
20070925,  -0.08,  -0.37,  -0.55,   0.19,  -0.21,  -0.11
20070926,   0.81,   0.81,   0.56,   0.58,   0.63,   0.41
20070927,   0.69,   0.61,   0.55,   0.44,   0.45,   0.47
20070928,  -0.76,  -1.05,  -0.73,  -0.22,  -0.42,  -0.27
20071001,   2.04,   2.09,   2.22,   1.24,   1.48,   1.19
20071002,   0.72,   0.71,   0.84,  -0.14,   0.25,   0.14
20071003,  -0.50,  -0.71,  -0.77,  -0.51,  -0.38,  -0.47
20071004,   0.18,   0.39,   0.03,   0.06,   0.30,   0.37
20071005,   1.82,   1.71,   1.63,   0.99,   1.14,   1.07
20071008,  -0.16,  -0.58,  -0.67,  -0.09,  -0.44,  -0.30
20071009,   0.65,   0.61,   0.47,   0.83,   0.88,   0.59
20071010,   0.11,  -0.15,  -0.46,   0.04,  -0.31,  -0.24
20071011,  -1.31,  -1.09,  -0.82,  -0.68,  -0.37,  -0.21
20071012,   0.78,   0.67,   0.33,   0.63,   0.32,   0.42
20071015,  -1.06,  -1.21,  -1.39,  -0.84,  -0.84,  -0.79
20071016,  -0.62,  -0.73,  -0.90,  -0.42,  -0.97,  -0.73
20071017,   0.21,   0.22,  -0.19,   0.29,   0.12,   0.32
20071018,   0.06,  -0.13,  -0.21,   0.10,  -0.23,  -0.45
20071019,  -2.89,  -2.89,  -2.89,  -2.27,  -2.60,  -2.29
20071022,   1.13,   1.31,   1.39,   0.42,   0.45,   0.26
20071023,   1.23,   0.76,   0.52,   1.04,   0.71,   0.49
20071024,  -0.62,  -0.88,  -0.85,  -0.10,  -0.46,  -0.39
20071025,  -0.54,  -0.50,  -0.44,  -0.06,  -0.06,  -0.42
20071026,   1.70,   1.65,   1.90,   1.20,   1.46,   1.72
20071029,   0.39,  -0.06,  -0.13,   0.53,   0.53,  -0.02
20071030,  -0.84,  -0.56,  -0.34,  -0.47,  -0.80,  -0.67
20071031,   1.38,   1.25,   1.08,   1.24,   1.27,   1.25
20071101,  -3.29,  -3.72,  -3.62,  -2.17,  -3.01,  -2.75
20071102,   0.64,   0.26,  -0.46,   0.36,  -0.24,  -0.27
20071105,  -1.00,  -0.78,  -0.90,  -0.39,  -0.79,  -0.52
20071106,   1.44,   1.27,   1.02,   1.08,   1.43,   1.16
20071107,  -2.78,  -3.01,  -3.07,  -2.32,  -3.20,  -3.04
20071108,  -0.01,   0.99,   1.08,  -0.47,   0.19,   0.71
20071109,  -1.57,  -0.96,  -0.76,  -1.82,  -1.15,  -0.83
20071112,  -1.00,  -0.54,  -0.50,  -1.11,  -1.07,  -1.05
20071113,   2.34,   2.58,   2.43,   2.72,   3.05,   2.94
20071114,  -0.64,  -0.78,  -0.96,  -0.61,  -0.54,  -0.72
20071115,  -1.65,  -1.33,  -1.12,  -0.83,  -1.73,  -1.50
20071116,   0.02,  -0.18,  -0.55,   0.77,   0.21,   0.02
20071119,  -2.25,  -2.28,  -2.08,  -1.34,  -2.13,  -2.27
20071120,  -0.28,  -0.06,  -0.33,   0.67,   0.05,   0.47
20071121,  -1.47,  -1.11,  -1.06,  -1.39,  -1.80,  -1.64
20071123,   1.75,   2.00,   1.82,   1.38,   1.86,   1.74
20071126,  -1.95,  -2.33,  -2.61,  -1.81,  -2.37,  -2.30
20071127,   0.82,   0.90,   0.75,   1.45,   1.46,   1.12
20071128,   3.27,   3.30,   3.02,   2.60,   3.45,   2.50
20071129,   0.01,  -0.69,  -0.67,   0.18,  -0.19,   0.23
20071130,   0.24,   0.26,   0.68,   0.20,   1.30,   1.52
20071203,  -0.73,  -1.10,  -1.10,  -0.79,  -0.40,   0.04
20071204,  -0.68,  -0.77,  -0.88,  -0.42,  -0.78,  -0.61
20071205,   1.43,   1.69,   1.40,   1.49,   1.57,   1.39
20071206,   2.43,   2.54,   2.43,   1.10,   1.93,   1.84
20071207,  -0.05,  -0.25,   0.11,   0.07,  -0.14,  -0.34
20071210,   0.69,   0.43,   0.83,   0.61,   0.86,   0.85
20071211,  -2.68,  -3.00,  -2.68,  -2.07,  -3.18,  -2.22
20071212,   0.61,   0.70,   0.21,   0.62,   0.24,   0.60
20071213,  -0.23,  -0.21,  -0.44,   0.26,   0.03,  -0.20
20071214,  -1.62,  -1.96,  -1.99,  -1.22,  -1.43,  -1.45
20071217,  -2.15,  -1.70,  -1.47,  -1.52,  -1.47,  -1.63
20071218,   1.58,   1.74,   1.79,   0.60,   0.63,   0.34
20071219,   0.33,   0.13,  -0.09,  -0.10,  -0.01,  -0.48
20071220,   1.27,   1.50,   1.21,   0.78,   0.46,   0.18
20071221,   2.12,   2.06,   1.88,   1.50,   1.74,   1.75
20071224,   0.94,   0.98,   0.98,   0.66,   0.96,   0.95
20071226,   0.44,   0.33,   0.18,   0.07,   0.03,   0.18
20071227,  -2.56,  -2.65,  -2.42,  -1.30,  -1.47,  -1.31
20071228,  -0.01,  -0.24,  -0.33,   0.22,   0.07,   0.30
20071231,  -0.73,  -0.58,  -0.39,  -0.88,  -0.44,  -0.40
20080102,  -1.34,  -1.82,  -1.44,  -1.30,  -1.68,  -1.35
20080103,  -0.83,  -1.15,  -1.32,   0.07,  -0.06,  -0.24
20080104,  -3.10,  -2.88,  -2.91,  -2.41,  -2.55,  -2.52
20080107,  -0.05,   0.47,   0.46,   0.28,   0.12,   0.10
20080108,  -1.91,  -2.75,  -2.56,  -1.27,  -2.18,  -2.50
20080109,   0.72,   0.70,   0.48,   1.33,   1.34,   0.29
20080110,   1.10,   0.80,   1.08,   0.56,   1.07,   1.60
20080111,  -2.02,  -2.22,  -1.85,  -1.65,  -0.91,  -1.25
20080114,   0.92,   1.01,   0.88,   0.94,   1.36,   0.71
20080115,  -2.40,  -1.89,  -1.99,  -2.18,  -2.63,  -2.70
20080116,  -0.17,   0.54,   1.12,  -0.84,  -0.45,   0.07
20080117,  -2.60,  -2.67,  -2.31,  -2.35,  -3.53,  -2.77
20080118,  -1.11,  -0.95,  -1.13,   0.06,  -0.98,  -1.48
20080122,  -0.89,  -0.16,  -0.06,  -1.69,  -0.36,   0.13
20080123,   2.14,   3.27,   3.59,   1.08,   2.88,   3.15
20080124,   0.34,  -0.08,  -0.05,   1.18,   1.19,   0.70
20080125,  -0.71,  -0.42,  -0.69,  -1.50,  -1.63,  -1.22
20080128,   1.72,   1.83,   2.42,   1.24,   2.11,   2.57
20080129,   0.55,   0.42,   0.74,   0.19,   0.96,   2.16
20080130,  -1.08,  -0.96,  -0.96,  -0.49,  -0.48,  -0.70
20080131,   1.98,   2.53,   2.81,   1.47,   1.73,   1.63
20080201,   2.31,   2.19,   2.04,   1.06,   1.86,   1.41
20080204,  -0.93,  -0.92,  -0.88,  -0.84,  -1.11,  -1.27
20080205,  -3.11,  -2.67,  -2.38,  -2.65,  -3.54,  -3.24
20080206,  -1.63,  -1.00,  -0.80,  -0.86,  -0.70,  -0.70
20080207,   1.05,   1.41,   1.10,   0.78,   0.65,   1.07
20080208,  -0.35,  -0.38,  -0.63,  -0.11,  -0.45,  -0.48
20080211,   0.36,   0.35,   0.04,   1.02,   0.12,   0.25
20080212,   0.71,   0.48,   0.45,   0.58,   0.64,   0.79
20080213,   2.19,   2.26,   1.88,   1.44,   1.14,   1.64
20080214,  -2.27,  -2.14,  -1.89,  -1.29,  -1.22,  -1.38
20080215,  -0.83,  -0.67,  -0.68,  -0.22,   0.25,   0.55
20080219,   0.05,   0.16,  -0.05,   0.01,   0.04,  -0.45
20080220,   0.55,   1.32,   1.07,   0.71,   1.30,   0.32
20080221,  -1.42,  -1.76,  -1.70,  -1.08,  -1.40,  -1.32
